gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
Mis18a,34.2207824195726,0.036366152240398,0.142618065472512,0.465440119403508,0.993518557544854
Rabggtb,36.9190245014422,0.0363613387658244,0.138353395882865,0.466079639524517,0.993518557544854
Ralbp1,50.0190358965293,0.0363363406522961,0.128759319621301,0.460008407732038,0.993518557544854
Psph,23.7649269817594,0.0363359611245036,0.151701531597586,0.457511981968069,0.993518557544854
Uqcrb,153.157716028116,0.036327566520646,0.106440216928411,0.40334255633048,0.993518557544854
Pcyt2,21.6266906379223,0.0363114323819314,0.153013232940694,0.4558178031848,0.993518557544854
Wash1,23.2697073325981,0.0362980717903599,0.149709950544319,0.460505240177512,0.993518557544854
Troap,8.30265604423025,0.0362931367057044,0.183062834839273,0.39113604740954,0.993518557544854
Bcl6,8.12937262982743,0.0362506449119454,0.205045185695242,0.363977071256491,0.993518557544854
Itga6,7.63033404455001,0.0362504780740379,0.202866630781447,0.365687590366945,0.993518557544854
Rap1gds1,37.888810722525,0.0361804115981856,0.136877061717746,0.467765749068473,0.993518557544854
Ctnna1,59.2415806989953,0.0361768005016812,0.153387914656086,0.456602285863727,0.993518557544854
Dna2,16.9360490055624,0.0361573608546844,0.1640280684286,0.435189270643956,0.993518557544854
Nle1,17.1407153629762,0.036150239326277,0.160333070932109,0.443643839701832,0.993518557544854
Klf9,5.49608339047428,0.0360952079180158,0.207640752842344,0.363735848834813,0.993518557544854
Hipk2,7.9725407254559,0.0360730178219787,0.185598323081176,0.388792396307053,0.993518557544854
Sidt2,40.4117681042672,0.0360434682418805,0.136761252839776,0.469233375525448,0.993518557544854
Srsf3,153.184806408019,0.0360363187039852,0.102602899581638,0.391032928335432,0.993518557544854
Ndc1,17.9314425776341,0.0360287959807241,0.161608233702166,0.442039829951047,0.993518557544854
Adgrl2,14.2876361275578,0.0360186038455365,0.164849759519561,0.434625000181957,0.993518557544854
E2f3,11.4666904568867,0.036010913092676,0.170989205501442,0.419923184895575,0.993518557544854
Ndufaf7,9.30499761265951,0.0359464012382807,0.176768718569682,0.407253480637859,0.993518557544854
Ints7,24.7528052844539,0.0359385120463398,0.150051148588669,0.463810535962454,0.993518557544854
Pold1,51.9893227105147,0.0359378830975139,0.132342202408513,0.468073259491554,0.993518557544854
Nlrc4,7.84147509697778,0.0358999526977725,0.210621124522092,0.363951277675016,0.993518557544854
Rbbp4,99.012664014231,0.0358749315121134,0.112459332366904,0.430517518228212,0.993518557544854
Idh1,9.64612419753335,0.0358233681679104,0.17516636384818,0.412029336691408,0.993518557544854
Uap1,12.8014653883309,0.0358082818144714,0.166164756161137,0.433572143245657,0.993518557544854
Ssr2,75.2906309273832,0.0357684812749548,0.117026832413691,0.444775725469491,0.993518557544854
Ube2f,33.1068367177774,0.035761103856992,0.141908492225863,0.472162833282504,0.993518557544854
Atp2c1,32.7259123221227,0.0356896797826717,0.142293968042015,0.472795436371256,0.993518557544854
Rad18,11.4615982113194,0.035687755628796,0.171143643955915,0.422752485628971,0.993518557544854
Tufm,31.2519455322266,0.0356877175618847,0.141607299561814,0.473049782806745,0.993518557544854
Ext2,18.6000678509974,0.0356735223837284,0.160119393726519,0.448909135349745,0.993518557544854
Slc12a2,7.30310340787745,0.0356683153383542,0.191776166308261,0.383406742635078,0.993518557544854
Fam134a,35.7366951762062,0.0356638739888284,0.137603047804252,0.473587629398779,0.993518557544854
Tlr1,4.83646608251594,0.0356566111036854,0.224082710165034,0.361918829411761,0.993518557544854
Psmb6,121.455606558045,0.0356234944516206,0.105934236915484,0.410708839007592,0.993518557544854
Akr1a1,270.99742594832,0.0356172694713328,0.0919946181242032,0.340975322296044,0.993518557544854
Mllt1,26.7649286101892,0.0354972945544467,0.146780809353607,0.471973381984534,0.993518557544854
Pnisr,26.1204685237759,0.0354514437473002,0.14795437911614,0.471321165227865,0.993518557544854
Mzt2,12.1266798094757,0.0354375637650177,0.168763336562652,0.430991704855475,0.993518557544854
